release_date,title,vote_average,studio,domestic_gross,foreign_gross,year,Total_Revenue
2010-03-26,How to Train Your Dragon,7.7,P/DW,217600000.0,277300000.0,2010,494900000.0
2010-05-07,Iron Man 2,6.8,Par.,312400000.0,311500000.0,2010,623900000.0
2010-07-16,Inception,8.3,WB,292600000.0,535700000.0,2010,828300000.0
2010-06-17,Toy Story 3,7.7,BV,415000000.0,652000000.0,2010,1067000000.0
2010-07-09,Despicable Me,7.2,Uni.,251500000.0,291600000.0,2010,543100000.0
2010-11-04,Megamind,6.8,P/DW,148400000.0,173500000.0,2010,321900000.0
2010-08-03,The Expendables,6.1,LGF,103100000.0,171400000.0,2010,274500000.0
2010-11-24,Tangled,7.5,BV,200800000.0,391000000.0,2010,591800000.0
2010-06-23,The Twilight Saga: Eclipse,6.0,Sum.,300500000.0,398000000.0,2010,698500000.0
2010-01-11,The Book of Eli,6.7,WB,94800000.0,62300000.0,2010,157100000.0
2010-02-18,Shutter Island,8.1,Par.,128000000.0,166800000.0,2010,294800000.0
2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,Fox,104400000.0,311300000.0,2010,415700000.0
2010-06-11,The A-Team,6.3,Fox,77200000.0,100000000.0,2010,177200000.0
2010-09-06,The King's Speech,7.7,Wein.,135500000.0,275400000.0,2010,410900000.0
2010-07-01,The Last Airbender,4.6,Par.,131800000.0,187900000.0,2010,319700000.0
2010-07-03,Predators,6.1,Fox,52000000.0,75200000.0,2010,127200000.0
2010-10-01,The Social Network,7.2,Sony,97000000.0,128000000.0,2010,225000000.0
2010-04-23,The Back-Up Plan,6.0,CBS,37500000.0,40000000.0,2010,77500000.0
2010-05-14,Robin Hood,6.3,Uni.,105300000.0,216400000.0,2010,321700000.0
2013-01-31,Robin Hood,5.7,Uni.,105300000.0,216400000.0,2010,321700000.0
2018-11-21,Robin Hood,5.8,Uni.,105300000.0,216400000.0,2010,321700000.0
2010-05-16,Shrek Forever After,6.1,P/DW,238700000.0,513900000.0,2010,752600000.0
2010-09-17,Easy A,6.8,SGem,58400000.0,16600000.0,2010,75000000.0
2010-07-13,The Sorcerer's Apprentice,5.9,BV,63200000.0,152100000.0,2010,215300000.0
2010-08-13,Scott Pilgrim vs. the World,7.3,Uni.,31500000.0,16100000.0,2010,47600000.0
2010-06-24,Grown Ups,6.1,Sony,162000000.0,109400000.0,2010,271400000.0
2010-11-23,Faster,6.2,CBS,23200000.0,12400000.0,2010,35600000.0
2010-02-12,The Wolfman,5.7,Uni.,62000000.0,77800000.0,2010,139800000.0
2010-11-12,Unstoppable,6.4,Fox,81600000.0,86200000.0,2010,167800000.0
2013-09-24,Unstoppable,1.6,Fox,81600000.0,86200000.0,2010,167800000.0
2010-12-03,Black Swan,7.6,FoxS,107000000.0,222400000.0,2010,329400000.0
2010-02-15,Centurion,6.1,Magn.,124000.0,6700000.0,2010,6824000.0
2010-08-06,The Other Guys,6.2,Sony,119200000.0,51200000.0,2010,170400000.0
2010-09-17,The Town,7.1,WB,92200000.0,61800000.0,2010,154000000.0
2010-06-18,Jonah Hex,4.6,WB,10500000.0,356000.0,2010,10856000.0
2010-05-27,Prince of Persia: The Sands of Time,6.2,BV,90800000.0,245600000.0,2010,336400000.0
2010-12-22,True Grit,7.2,Par.,171200000.0,81000000.0,2010,252200000.0
2010-10-08,I Spit on Your Grave,6.3,Anch.,93100.0,480000.0,2010,573100.0
2010-04-16,Kick-Ass,7.1,LGF,48100000.0,48100000.0,2010,96200000.0
2010-07-23,Salt,6.3,Sony,118300000.0,175200000.0,2010,293500000.0
2012-08-06,Salt,1.0,Sony,118300000.0,175200000.0,2010,293500000.0
2010-02-05,From Paris with Love,6.2,LGF,24100000.0,28700000.0,2010,52800000.0
2010-01-22,Tooth Fairy,5.3,Fox,60000000.0,52400000.0,2010,112400000.0
2010-09-03,Machete,6.3,Fox,26600000.0,17500000.0,2010,44100000.0
2010-04-16,The Secret in Their Eyes,7.9,SPC,6400000.0,27600000.0,2010,34000000.0
2010-04-08,Date Night,6.0,Fox,98700000.0,53600000.0,2010,152300000.0
2010-11-04,Due Date,6.3,WB,100500000.0,111200000.0,2010,211700000.0
2010-03-19,Repo Men,6.2,Uni.,13800000.0,4600000.0,2010,18400000.0
2010-06-10,The Karate Kid,6.3,Sony,176600000.0,182500000.0,2010,359100000.0
2010-03-19,Diary of a Wimpy Kid,6.0,Fox,64000000.0,11700000.0,2010,75700000.0
2010-02-26,The Crazies,6.2,Over.,39100000.0,15700000.0,2010,54800000.0
2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,MBox,5200000.0,38300000.0,2010,43500000.0
2010-12-21,Little Fockers,5.6,Uni.,148400000.0,162200000.0,2010,310600000.0
2010-02-04,Dear John,6.8,SGem,80000000.0,35000000.0,2010,115000000.0
2010-08-13,Tales from Earthsea,6.6,BV,48500.0,68600000.0,2010,68648500.0
2010-01-08,Leap Year,6.7,Uni.,25900000.0,6700000.0,2010,32600000.0
2011-06-24,Leap Year,5.6,Uni.,25900000.0,6700000.0,2010,32600000.0
2010-07-09,The Girl Who Played with Fire,7.0,MBox,7600000.0,59500000.0,2010,67100000.0
2010-03-11,Green Zone,6.4,Uni.,35100000.0,59800000.0,2010,94900000.0
2010-03-12,Remember Me,7.1,Sum.,19100000.0,37000000.0,2010,56100000.0
2010-11-05,127 Hours,7.0,FoxS,18300000.0,42400000.0,2010,60700000.0
2010-08-20,Piranha 3D,5.3,W/Dim.,25000000.0,58200000.0,2010,83200000.0
2010-01-29,Edge of Darkness,6.3,WB,43300000.0,37800000.0,2010,81100000.0
2015-11-01,Edge of Darkness,7.0,WB,43300000.0,37800000.0,2010,81100000.0
2010-02-11,Valentine's Day,5.8,WB (NL),110500000.0,106000000.0,2010,216500000.0
2010-11-19,The Next Three Days,7.0,LGF,21100000.0,46300000.0,2010,67400000.0
2010-09-24,Buried,6.6,LGF,1000000.0,18100000.0,2010,19100000.0
2010-12-25,Gulliver's Travels,5.1,Fox,42800000.0,194600000.0,2010,237400000.0
2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,WB,55700000.0,84400000.0,2010,140100000.0
2010-01-15,The Spy Next Door,5.7,LGF,24300000.0,20900000.0,2010,45200000.0
2010-11-10,Morning Glory,6.3,Par.,31000000.0,29000000.0,2010,60000000.0
2010-04-30,Harry Brown,6.8,Gold.,1800000.0,8500000.0,2010,10300000.0
2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,WB,43600000.0,68900000.0,2010,112500000.0
2010-12-17,The Fighter,7.3,Par.,93600000.0,35600000.0,2010,129200000.0
2010-12-10,The Tourist,6.1,Sony,67600000.0,210700000.0,2010,278300000.0
2010-06-04,Killers,5.8,LGF,47100000.0,51100000.0,2010,98200000.0
2010-09-24,You Again,6.2,BV,25700000.0,6300000.0,2010,32000000.0
2010-09-17,Devil,5.9,Uni.,33600000.0,29100000.0,2010,62700000.0
2010-04-23,The Losers,6.2,WB,23600000.0,5800000.0,2010,29400000.0
2010-08-13,Animal Kingdom,6.8,SPC,1000000.0,5700000.0,2010,6700000.0
2010-09-20,Wall Street: Money Never Sleeps,6.0,Fox,52500000.0,82300000.0,2010,134800000.0
2010-10-29,Monsters,6.2,Magn.,237000.0,4000000.0,2010,4237000.0
2015-10-28,Monsters,7.4,Magn.,237000.0,4000000.0,2010,4237000.0
2010-03-26,Hot Tub Time Machine,6.0,MGM,50300000.0,14300000.0,2010,64600000.0
2010-09-15,Never Let Me Go,6.8,FoxS,2400000.0,7000000.0,2010,9400000.0
2010-10-08,It's Kind of a Funny Story,7.0,Focus,6400000.0,128000.0,2010,6528000.0
2010-08-12,Eat Pray Love,6.0,Sony,80600000.0,124000000.0,2010,204600000.0
2010-05-27,Sex and the City 2,5.9,WB (NL),95300000.0,193000000.0,2010,288300000.0
2010-11-05,Four Lions,7.0,Drft.,305000.0,4400000.0,2010,4705000.0
2010-01-29,When in Rome,5.9,BV,32700000.0,10400000.0,2010,43100000.0
2010-03-19,The Bounty Hunter,5.7,Sony,67099999.0,69300000.0,2010,136399999.0
2010-06-11,Winter's Bone,6.9,RAtt.,6500000.0,7300000.0,2010,13800000.0
2010-10-08,My Soul to Take,5.4,Uni.,14700000.0,6200000.0,2010,20900000.0
2010-10-01,Let Me In,6.7,Over.,12100000.0,12000000.0,2010,24100000.0
2016-06-20,Let Me In,7.0,Over.,12100000.0,12000000.0,2010,24100000.0
2010-02-05,Frozen,5.8,BV,400700000.0,875700000.0,2013,1276400000.0
2013-11-27,Frozen,7.3,BV,400700000.0,875700000.0,2013,1276400000.0
2010-09-24,Enter the Void,7.3,IFC,336000.0,418000.0,2010,754000.0
2010-10-08,Inside Job,7.8,SPC,4300000.0,3600000.0,2010,7900000.0
2010-09-23,Mother's Day,6.4,ORF,32500000.0,15900000.0,2016,48400000.0
2016-04-29,Mother's Day,5.9,ORF,32500000.0,15900000.0,2016,48400000.0
2010-05-01,Charlie St. Cloud,6.9,Uni.,31200000.0,17000000.0,2010,48200000.0
2010-04-02,Furry Vengeance,4.6,Sum.,17600000.0,18600000.0,2010,36200000.0
2010-12-17,Casino Jack,6.1,ATO,1000000.0,40700.0,2010,1040700.0
2009-11-07,After.Life,5.7,Anch.,109000.0,1900000.0,2010,2009000.0
2010-12-29,Another Year,7.0,SPC,3200000.0,16500000.0,2010,19700000.0
2014-03-08,Another Year,6.3,SPC,3200000.0,16500000.0,2010,19700000.0
2010-05-14,Letters to Juliet,6.9,Sum.,53000000.0,26100000.0,2010,79100000.0
